"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.22","","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.40","","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.67","","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.69","","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.73","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.64","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","1.03","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","1.01","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate","257","units","0","v44416997","1.58.2","0.92","","","","2"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","158.33","","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","-1.08","","","","2"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","28.63","","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","81.50","","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","65.89","","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","3.01","","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","6.35","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","-12.44","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","60.29","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","-1.66","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent","239","units","0","v44385748","1.58.3","-9.07","","","","2"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","","..","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","","..","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","","..","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","","..","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","","..","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","","..","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","46","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","50","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","63","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","65","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000149423","1.58.15","59","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","","..","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","","..","","","2"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","","..","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","","..","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","","..","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","","..","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","14.65","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","17.36","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","14.00","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","14.44","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000149424","1.58.16","14.36","","","","2"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","50","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","45","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","56","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","107","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","167","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","177","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","182","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","138","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","191","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","190","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v44357663","1.58.4","188","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","48","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","45","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","52","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","97","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","155","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","163","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","170","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","132","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","176","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","177","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v44407067","1.58.5","179","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","2","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","0","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","4","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","10","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","12","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","14","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","12","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","6","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","15","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","13","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v44369211","1.58.6","9","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","36","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","50","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","72","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","175","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","145","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","183","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","236","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","158","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","226","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","210","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v44327320","1.58.7","206","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.12","","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.17","","","","2"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.24","","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.57","","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.47","","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.58","","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.74","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.49","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.69","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.63","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44399768","1.58.8","0.62","","","","2"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","34","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","42","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","68","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","168","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","138","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","177","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","217","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","151","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","218","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","204","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v44357424","1.58.9","203","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.12","","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.15","","","","2"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.24","","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.59","","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.48","","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.61","","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.74","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.51","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.72","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.66","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44417022","1.58.10","0.65","","","","2"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","2","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","8","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","4","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","7","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","7","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","6","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","19","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","7","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","8","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","6","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v44345110","1.58.11","3","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.08","","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.33","","","","2"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.17","","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.30","","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.30","","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.25","","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.80","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.29","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.33","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.25","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44342331","1.58.12","0.12","","","","2"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","0","","","","0"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","0","","","","0"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","1","","","","0"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","1","","","","0"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","1","","","","0"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","0","","","","0"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","1","","","","0"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","1","","","","0"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","1","","","","0"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","0","","","","0"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v53081030","1.58.13","0","","","","0"
"2011","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.00","","","","2"
"2012","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.00","","","","2"
"2013","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.04","","","","2"
"2014","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.04","","","","2"
"2015","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.04","","","","2"
"2016","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.00","","","","2"
"2017","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.04","","","","2"
"2018","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.04","","","","2"
"2019","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.04","","","","2"
"2020","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.00","","","","2"
"2021","Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53081031","1.58.14","0.00","","","","2"


