"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","","..","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","1","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","1","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Unfounded incidents","Number","223","units","0","v1000150639","3.58.15","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","100.00","","","","2"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","100.00","","","","2"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Percent unfounded","Percent","239","units","0","v1000150640","3.58.16","","..","","","2"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","1","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total cleared","Number","223","units","0","v61999832","3.58.4","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","1","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared by charge","Number","223","units","0","v61999833","3.58.5","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Cleared otherwise","Number","223","units","0","v61999834","3.58.6","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, persons charged","Number","223","units","0","v61999835","3.58.7","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v61999836","3.58.8","0.00","","","","2"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, adult charged","Number","223","units","0","v61999837","3.58.9","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v61999838","3.58.10","0.00","","","","2"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth charged","Number","223","units","0","v61999839","3.58.11","0","","","","0"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2017","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2018","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2019","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2020","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2021","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v61999840","3.58.12","0.00","","","","2"
"2011","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v61999841","3.58.13","0","","","","0"
"2012","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v61999841","3.58.13","0","","","","0"
"2013","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v61999841","3.58.13","1","","","","0"
"2014","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v61999841","3.58.13","0","","","","0"
"2015","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v61999841","3.58.13","0","","","","0"
"2016","St. John's, Newfoundland and Labrador [10001]","2021A003510001","Trafficking in persons [1525]","Total, youth not charged","Number","223","units","0","v61999841","3.58.13","0","","","","0"
